Index,QuoteDate,QuoteTime,TOSsymbol,Expiration,Strike,P/C,Mark,Extrinsic,SPX,VIX,ImpVol,Delta,Gamma,Theta,Vega,Rho,OpenInterest,Root
180102.SPX180102P2275,1/2/2018,3:45:00 PM,.SPXW180102P2275,1/2/2018,2275,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000016,0,0.000603,-0.000178,109,SPXW
180102.SPX180102C2280,1/2/2018,3:45:00 PM,.SPXW180102C2280,1/2/2018,2280,C,413.6000061,-0.280000001,2693.879883,,0.05,0.997,0.000055,0,0.002478,0.233408,0,SPXW
180102.SPX180102P2280,1/2/2018,3:45:00 PM,.SPXW180102P2280,1/2/2018,2280,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0006,0.000015,0,0.000588,-0.000173,1117,SPXW
180102.SPX180102C2290,1/2/2018,3:45:00 PM,.SPXW180102C2290,1/2/2018,2290,C,403.6000061,-0.280000001,2693.879883,,0.05,0.9988,0.000028,0,0.001104,0.234931,0,SPXW
180102.SPX180102P2290,1/2/2018,3:45:00 PM,.SPXW180102P2290,1/2/2018,2290,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0007,0.000017,0,0.000625,-0.000184,2,SPXW
180102.SPX180102C2300,1/2/2018,3:45:00 PM,.SPXW180102C2300,1/2/2018,2300,C,393.6000061,-0.280000001,2693.879883,,0.05,0.9969,0.000061,0,0.002582,0.235425,0,SPXW
180102.SPX180102P2300,1/2/2018,3:45:00 PM,.SPXW180102P2300,1/2/2018,2300,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0007,0.000018,0,0.000643,-0.00019,4031,SPXW
180102.SPX180102C2310,1/2/2018,3:45:00 PM,.SPXW180102C2310,1/2/2018,2310,C,383.6000061,-0.280000001,2693.879883,,0.05,0.9987,0.00003,0,0.001142,0.236973,0,SPXW
180102.SPX180102P2310,1/2/2018,3:45:00 PM,.SPXW180102P2310,1/2/2018,2310,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0007,0.000018,0,0.000652,-0.000193,3510,SPXW
180102.SPX180102C2320,1/2/2018,3:45:00 PM,.SPXW180102C2320,1/2/2018,2320,C,373.6000061,-0.280000001,2693.879883,,0.05,0.9968,0.000066,0,0.002676,0.237445,0,SPXW
180102.SPX180102P2320,1/2/2018,3:45:00 PM,.SPXW180102P2320,1/2/2018,2320,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.00002,0,0.000707,-0.000211,9265,SPXW
180102.SPX180102C2325,1/2/2018,3:45:00 PM,.SPXW180102C2325,1/2/2018,2325,C,368.6000061,-0.280000001,2693.879883,,0.05,0.9987,0.000033,0,0.001177,0.238502,0,SPXW
180102.SPX180102P2325,1/2/2018,3:45:00 PM,.SPXW180102P2325,1/2/2018,2325,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0007,0.000021,0,0.000701,-0.000209,203,SPXW
180102.SPX180102C2330,1/2/2018,3:45:00 PM,.SPXW180102C2330,1/2/2018,2330,C,363.6000061,-0.280000001,2693.879883,,0.05,0.9966,0.00007,0,0.002766,0.238438,0,SPXW
180102.SPX180102P2330,1/2/2018,3:45:00 PM,.SPXW180102P2330,1/2/2018,2330,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0007,0.000021,0,0.000701,-0.000209,116,SPXW
180102.SPX180102C2340,1/2/2018,3:45:00 PM,.SPXW180102C2340,1/2/2018,2340,C,353.6000061,-0.280000001,2693.879883,,0.05,0.9986,0.000036,0,0.00125,0.240018,0,SPXW
180102.SPX180102P2340,1/2/2018,3:45:00 PM,.SPXW180102P2340,1/2/2018,2340,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000022,0,0.000728,-0.000217,1,SPXW
180102.SPX180102C2350,1/2/2018,3:45:00 PM,.SPXW180102C2350,1/2/2018,2350,C,343.6000061,-0.280000001,2693.879883,,0.05,0.9955,0.000093,0,0.003583,0.240176,0,SPXW
180102.SPX180102P2350,1/2/2018,3:45:00 PM,.SPXW180102P2350,1/2/2018,2350,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000023,0,0.000738,-0.00022,8,SPXW
180102.SPX180102C2360,1/2/2018,3:45:00 PM,.SPXW180102C2360,1/2/2018,2360,C,333.6000061,-0.280000001,2693.879883,,0.05,0.9985,0.00004,0,0.001307,0.242054,0,SPXW
180102.SPX180102P2360,1/2/2018,3:45:00 PM,.SPXW180102P2360,1/2/2018,2360,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000026,0,0.00079,-0.000237,13,SPXW
180102.SPX180102C2370,1/2/2018,3:45:00 PM,.SPXW180102C2370,1/2/2018,2370,C,323.6000061,-0.280000001,2693.879883,,0.05,0.9953,0.000103,0,0.00374,0.24217,0,SPXW
180102.SPX180102P2370,1/2/2018,3:45:00 PM,.SPXW180102P2370,1/2/2018,2370,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000025,0,0.000745,-0.000222,75,SPXW
180102.SPX180102C2375,1/2/2018,3:45:00 PM,.SPXW180102C2375,1/2/2018,2375,C,318.6000061,-0.280000001,2693.879883,,0.05,0.9985,0.000042,0,0.001308,0.243595,0,SPXW
180102.SPX180102P2375,1/2/2018,3:45:00 PM,.SPXW180102P2375,1/2/2018,2375,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000026,0,0.000752,-0.000225,7706,SPXW
180102.SPX180102C2380,1/2/2018,3:45:00 PM,.SPXW180102C2380,1/2/2018,2380,C,313.6000061,-0.280000001,2693.879883,,0.05,0.9952,0.000109,0,0.003833,0.243161,0,SPXW
180102.SPX180102P2380,1/2/2018,3:45:00 PM,.SPXW180102P2380,1/2/2018,2380,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000026,0,0.00076,-0.000228,34,SPXW
180102.SPX180102C2385,1/2/2018,3:45:00 PM,.SPXW180102C2385,1/2/2018,2385,C,308.6000061,-0.280000001,2693.879883,,0.05,0.9984,0.000046,0,0.001388,0.244595,0,SPXW
180102.SPX180102P2385,1/2/2018,3:45:00 PM,.SPXW180102P2385,1/2/2018,2385,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000029,0,0.000832,-0.000251,152,SPXW
180102.SPX180102C2390,1/2/2018,3:45:00 PM,.SPXW180102C2390,1/2/2018,2390,C,303.6000061,-0.280000001,2693.879883,,0.05,0.9951,0.000114,0,0.003908,0.244159,0,SPXW
180102.SPX180102P2390,1/2/2018,3:45:00 PM,.SPXW180102P2390,1/2/2018,2390,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000028,0,0.000776,-0.000233,954,SPXW
180102.SPX180102C2395,1/2/2018,3:45:00 PM,.SPXW180102C2395,1/2/2018,2395,C,298.6000061,-0.280000001,2693.879883,,0.05,0.9984,0.000049,0,0.001422,0.245611,0,SPXW
180102.SPX180102P2395,1/2/2018,3:45:00 PM,.SPXW180102P2395,1/2/2018,2395,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0008,0.000029,0,0.000784,-0.000235,689,SPXW
180102.SPX180102C2400,1/2/2018,3:45:00 PM,.SPXW180102C2400,1/2/2018,2400,C,293.6000061,-0.280000001,2693.879883,,0.05,0.9948,0.000123,0,0.004058,0.245127,0,SPXW
180102.SPX180102P2400,1/2/2018,3:45:00 PM,.SPXW180102P2400,1/2/2018,2400,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000029,0,0.000792,-0.000238,11453,SPXW
180102.SPX180102C2405,1/2/2018,3:45:00 PM,.SPXW180102C2405,1/2/2018,2405,C,288.6000061,-0.280000001,2693.879883,,0.05,0.9983,0.000052,0,0.001482,0.246617,0,SPXW
180102.SPX180102P2405,1/2/2018,3:45:00 PM,.SPXW180102P2405,1/2/2018,2405,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000031,0,0.000833,-0.000251,376,SPXW
180102.SPX180102C2410,1/2/2018,3:45:00 PM,.SPXW180102C2410,1/2/2018,2410,C,283.6000061,-0.280000001,2693.879883,,0.05,0.9947,0.00013,0,0.004151,0.246118,0,SPXW
180102.SPX180102P2410,1/2/2018,3:45:00 PM,.SPXW180102P2410,1/2/2018,2410,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000031,0,0.000808,-0.000243,41,SPXW
180102.SPX180102C2415,1/2/2018,3:45:00 PM,.SPXW180102C2415,1/2/2018,2415,C,278.6000061,-0.280000001,2693.879883,,0.05,0.9983,0.000055,0,0.001506,0.247636,0,SPXW
180102.SPX180102P2415,1/2/2018,3:45:00 PM,.SPXW180102P2415,1/2/2018,2415,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000032,0,0.000816,-0.000246,301,SPXW
180102.SPX180102C2420,1/2/2018,3:45:00 PM,.SPXW180102C2420,1/2/2018,2420,C,273.6000061,-0.280000001,2693.879883,,0.05,0.9946,0.000138,0,0.004253,0.247105,0,SPXW
180102.SPX180102P2420,1/2/2018,3:45:00 PM,.SPXW180102P2420,1/2/2018,2420,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0009,0.000033,0,0.000825,-0.000248,37,SPXW
180102.SPX180102C2425,1/2/2018,3:45:00 PM,.SPXW180102C2425,1/2/2018,2425,C,268.6000061,-0.280000001,2693.879883,,0.05,0.9982,0.000058,0,0.001541,0.248652,2,SPXW
180102.SPX180102P2425,1/2/2018,3:45:00 PM,.SPXW180102P2425,1/2/2018,2425,P,0.029999999,0.029999999,2693.879883,,0.05,-0.001,0.000038,0,0.000958,-0.000292,1479,SPXW
180102.SPX180102C2430,1/2/2018,3:45:00 PM,.SPXW180102C2430,1/2/2018,2430,C,263.6000061,-0.280000001,2693.879883,,0.05,0.9944,0.000147,0,0.004394,0.248076,2,SPXW
180102.SPX180102P2430,1/2/2018,3:45:00 PM,.SPXW180102P2430,1/2/2018,2430,P,0.029999999,0.029999999,2693.879883,,0.05,-0.001,0.000038,0,0.000936,-0.000285,1069,SPXW
180102.SPX180102C2435,1/2/2018,3:45:00 PM,.SPXW180102C2435,1/2/2018,2435,C,258.6000061,-0.280000001,2693.879883,,0.05,0.9982,0.000063,0,0.001603,0.249658,0,SPXW
180102.SPX180102P2435,1/2/2018,3:45:00 PM,.SPXW180102P2435,1/2/2018,2435,P,0.029999999,0.029999999,2693.879883,,0.05,-0.001,0.000039,0,0.000932,-0.000283,94,SPXW
180102.SPX180102C2440,1/2/2018,3:45:00 PM,.SPXW180102C2440,1/2/2018,2440,C,253.6000061,-0.280000001,2693.879883,,0.05,0.9942,0.000157,0,0.004524,0.249052,0,SPXW
180102.SPX180102P2440,1/2/2018,3:45:00 PM,.SPXW180102P2440,1/2/2018,2440,P,0.029999999,0.029999999,2693.879883,,0.05,-0.001,0.000041,0,0.000954,-0.000291,517,SPXW
180102.SPX180102C2445,1/2/2018,3:45:00 PM,.SPXW180102C2445,1/2/2018,2445,C,248.6000061,-0.280000001,2693.879883,,0.05,0.9981,0.000068,0,0.001679,0.250658,0,SPXW
180102.SPX180102P2445,1/2/2018,3:45:00 PM,.SPXW180102P2445,1/2/2018,2445,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0011,0.000043,0,0.000988,-0.000302,21,SPXW
180102.SPX180102C2450,1/2/2018,3:45:00 PM,.SPXW180102C2450,1/2/2018,2450,C,243.6000061,-0.280000001,2693.879883,,0.05,0.994,0.000167,0,0.004632,0.250036,0,SPXW
180102.SPX180102P2450,1/2/2018,3:45:00 PM,.SPXW180102P2450,1/2/2018,2450,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0011,0.000043,0,0.000964,-0.000294,931,SPXW
180102.SPX180102C2455,1/2/2018,3:45:00 PM,.SPXW180102C2455,1/2/2018,2455,C,238.6000061,-0.280000001,2693.879883,,0.05,0.998,0.000073,0,0.001712,0.251674,0,SPXW
180102.SPX180102P2455,1/2/2018,3:45:00 PM,.SPXW180102P2455,1/2/2018,2455,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0011,0.000045,0,0.001005,-0.000307,11,SPXW
180102.SPX180102C2460,1/2/2018,3:45:00 PM,.SPXW180102C2460,1/2/2018,2460,C,233.6000061,-0.280000001,2693.879883,,0.05,0.9938,0.00018,0,0.004806,0.250993,0,SPXW
180102.SPX180102P2460,1/2/2018,3:45:00 PM,.SPXW180102P2460,1/2/2018,2460,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000049,0,0.001072,-0.00033,10,SPXW
180102.SPX180102C2465,1/2/2018,3:45:00 PM,.SPXW180102C2465,1/2/2018,2465,C,228.6000061,-0.280000001,2693.879883,,0.05,0.998,0.000077,0,0.001745,0.25269,0,SPXW
180102.SPX180102P2465,1/2/2018,3:45:00 PM,.SPXW180102P2465,1/2/2018,2465,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000051,0,0.001079,-0.000332,108,SPXW
180102.SPX180102C2470,1/2/2018,3:45:00 PM,.SPXW180102C2470,1/2/2018,2470,C,223.6000061,-0.280000001,2693.879883,,0.05,0.9935,0.000195,0,0.004996,0.251942,0,SPXW
180102.SPX180102P2470,1/2/2018,3:45:00 PM,.SPXW180102P2470,1/2/2018,2470,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000051,0,0.001067,-0.000328,1004,SPXW
180102.SPX180102C2475,1/2/2018,3:45:00 PM,.SPXW180102C2475,1/2/2018,2475,C,218.6000061,-0.280000001,2693.879883,,0.05,0.9979,0.000083,0,0.001791,0.253701,4,SPXW
180102.SPX180102P2475,1/2/2018,3:45:00 PM,.SPXW180102P2475,1/2/2018,2475,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000052,0,0.001064,-0.000327,181,SPXW
180102.SPX180102C2480,1/2/2018,3:45:00 PM,.SPXW180102C2480,1/2/2018,2480,C,213.6000061,-0.280000001,2693.879883,,0.05,0.9932,0.000212,0,0.0052,0.252886,1,SPXW
180102.SPX180102P2480,1/2/2018,3:45:00 PM,.SPXW180102P2480,1/2/2018,2480,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000054,0,0.001063,-0.000327,93,SPXW
180102.SPX180102C2485,1/2/2018,3:45:00 PM,.SPXW180102C2485,1/2/2018,2485,C,208.6000061,-0.280000001,2693.879883,,0.05,0.9978,0.000092,0,0.001903,0.254689,0,SPXW
180102.SPX180102P2485,1/2/2018,3:45:00 PM,.SPXW180102P2485,1/2/2018,2485,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000055,0,0.001068,-0.000328,69,SPXW
180102.SPX180102C2490,1/2/2018,3:45:00 PM,.SPXW180102C2490,1/2/2018,2490,C,203.6000061,-0.280000001,2693.879883,,0.05,0.9929,0.00023,0,0.005397,0.253832,5,SPXW
180102.SPX180102P2490,1/2/2018,3:45:00 PM,.SPXW180102P2490,1/2/2018,2490,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0012,0.000056,0,0.001061,-0.000326,243,SPXW
180102.SPX180102C2495,1/2/2018,3:45:00 PM,.SPXW180102C2495,1/2/2018,2495,C,198.6000061,-0.280000001,2693.879883,,0.05,0.9977,0.0001,0,0.001979,0.255689,0,SPXW
180102.SPX180102P2495,1/2/2018,3:45:00 PM,.SPXW180102P2495,1/2/2018,2495,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0013,0.000063,0,0.001165,-0.000361,3279,SPXW
180102.SPX180102C2500,1/2/2018,3:45:00 PM,.SPXW180102C2500,1/2/2018,2500,C,193.6000061,-0.280000001,2693.879883,,0.05,0.9927,0.000247,0,0.005516,0.254811,1,SPXW
180102.SPX180102P2500,1/2/2018,3:45:00 PM,.SPXW180102P2500,1/2/2018,2500,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0013,0.000066,0,0.001199,-0.000372,10259,SPXW
180102.SPX180102C2505,1/2/2018,3:45:00 PM,.SPXW180102C2505,1/2/2018,2505,C,188.6000061,-0.280000001,2693.879883,,0.05,0.9976,0.00011,0,0.002062,0.256687,0,SPXW
180102.SPX180102P2505,1/2/2018,3:45:00 PM,.SPXW180102P2505,1/2/2018,2505,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0013,0.000068,0,0.001202,-0.000373,618,SPXW
180102.SPX180102C2510,1/2/2018,3:45:00 PM,.SPXW180102C2510,1/2/2018,2510,C,183.6000061,-0.280000001,2693.879883,,0.05,0.9924,0.00027,0,0.005746,0.255742,0,SPXW
180102.SPX180102P2510,1/2/2018,3:45:00 PM,.SPXW180102P2510,1/2/2018,2510,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0014,0.000072,0,0.001247,-0.000389,681,SPXW
180102.SPX180102C2515,1/2/2018,3:45:00 PM,.SPXW180102C2515,1/2/2018,2515,C,178.6000061,-0.280000001,2693.879883,,0.05,0.9975,0.00012,0,0.002135,0.257688,0,SPXW
180102.SPX180102P2515,1/2/2018,3:45:00 PM,.SPXW180102P2515,1/2/2018,2515,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0014,0.000073,0,0.001226,-0.000381,941,SPXW
180102.SPX180102C2520,1/2/2018,3:45:00 PM,.SPXW180102C2520,1/2/2018,2520,C,173.6000061,-0.280000001,2693.879883,,0.05,0.9919,0.000299,0,0.006052,0.256641,0,SPXW
180102.SPX180102P2520,1/2/2018,3:45:00 PM,.SPXW180102P2520,1/2/2018,2520,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0015,0.000081,0,0.001324,-0.000415,1765,SPXW
180102.SPX180102C2525,1/2/2018,3:45:00 PM,.SPXW180102C2525,1/2/2018,2525,C,168.6000061,-0.280000001,2693.879883,,0.05,0.9973,0.000135,0,0.002291,0.258658,0,SPXW
180102.SPX180102P2525,1/2/2018,3:45:00 PM,.SPXW180102P2525,1/2/2018,2525,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0015,0.000084,0,0.001338,-0.00042,7128,SPXW
180102.SPX180102C2530,1/2/2018,3:45:00 PM,.SPXW180102C2530,1/2/2018,2530,C,163.6000061,-0.280000001,2693.879883,,0.05,0.9915,0.000329,0,0.0063,0.257564,2,SPXW
180102.SPX180102P2530,1/2/2018,3:45:00 PM,.SPXW180102P2530,1/2/2018,2530,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0016,0.000092,0,0.001426,-0.00045,2806,SPXW
180102.SPX180102C2535,1/2/2018,3:45:00 PM,.SPXW180102C2535,1/2/2018,2535,C,158.6000061,-0.280000001,2693.879883,,0.05,0.9972,0.000149,0,0.002371,0.259656,4,SPXW
180102.SPX180102P2535,1/2/2018,3:45:00 PM,.SPXW180102P2535,1/2/2018,2535,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0015,0.00009,0,0.001344,-0.000421,554,SPXW
180102.SPX180102C2540,1/2/2018,3:45:00 PM,.SPXW180102C2540,1/2/2018,2540,C,153.6000061,-0.280000001,2693.879883,,0.05,0.991,0.000366,0,0.00662,0.258454,20,SPXW
180102.SPX180102P2540,1/2/2018,3:45:00 PM,.SPXW180102P2540,1/2/2018,2540,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0015,0.000095,0,0.001365,-0.000429,1218,SPXW
180102.SPX180102C2545,1/2/2018,3:45:00 PM,.SPXW180102C2545,1/2/2018,2545,C,148.6000061,-0.280000001,2693.879883,,0.05,0.997,0.000166,0,0.002494,0.260639,4,SPXW
180102.SPX180102P2545,1/2/2018,3:45:00 PM,.SPXW180102P2545,1/2/2018,2545,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0016,0.000099,0,0.001387,-0.000436,309,SPXW
180102.SPX180102C2550,1/2/2018,3:45:00 PM,.SPXW180102C2550,1/2/2018,2550,C,142.75,-1.129999995,2693.879883,,0.05,0.9906,0.000405,0,0.006876,0.259372,60,SPXW
180102.SPX180102P2550,1/2/2018,3:45:00 PM,.SPXW180102P2550,1/2/2018,2550,P,0.029999999,0.029999999,2693.879883,,0.05,-0.0017,0.000111,0,0.001516,-0.000481,1461,SPXW
